NC_002516.2	O2	99.777	1	23303	23303	0.0	42736	23251
NC_002516.2	O2	86.855	3749	2542	1240	0.0	1358	1077
NC_002516.2	O3	94.359	1	2386	2393	0.0	3653	2258
NC_002516.2	O3	99.654	19922	20210	289	7.13e-148	529	288
NC_002516.2	O7	98.425	19617	17586	2032	0.0	3576	2000
NC_002516.2	O7	100.000	286	1	286	7.13e-148	529	286
NC_002516.2	O1	97.924	18368	16395	1975	0.0	3419	1934
NC_002516.2	O1	96.605	323	1	324	4.26e-150	536	313
NC_002516.2	O10	97.502	17635	15636	2002	0.0	3417	1952
NC_002516.2	O10	99.301	286	1	286	1.54e-144	518	284
NC_002516.2	O9	97.921	1	1971	1972	0.0	3413	1931
NC_002516.2	O9	85.490	16698	17263	572	4.17e-165	586	489
NC_002516.2	O13	96.559	1	2032	2034	0.0	3365	1964
NC_002516.2	O13	99.653	14029	14316	288	2.57e-147	527	287
NC_002516.2	O6	96.588	1	2019	2022	0.0	3347	1953
NC_002516.2	O6	99.313	15360	15649	291	9.23e-147	525	289
NC_002516.2	O11	96.354	13868	11951	1920	0.0	3155	1850
NC_002516.2	O11	98.932	281	1	281	4.32e-140	503	278
NC_002516.2	O4	97.394	1	1842	1842	0.0	3136	1794
NC_002516.2	O4	99.275	15004	15279	276	5.59e-139	499	274
NC_002516.2	O12	91.314	25864	24023	1842	0.0	2516	1682
NC_002516.2	O12	92.225	369	1	373	3.32e-146	523	344
NC_002516.2	O17	77.951	1054	2072	1025	1.90e-178	630	799
